Income Level,Units,RHNA,Percent,Projected Units,On Track Score,Status,Jurisdiction,Geographic Level,County,Region,Cycle,Planning Period,Planning Period Start,Planning Period End,Cycle Started,Snapshot Date,Most Recent,Total Days,Elapsed Days,Percent Elapsed,Tiers Met,Tiers With Goal,Overall Progress,Overall On Track Score,Overall Category,Source Last Updated
Above Moderate,321,1236,0.26,321.0,0.25970873786407767,Behind,Adelanto,City,San Bernardino,Inland Empire,5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,0,4,0.06492718446601942,0.06492718446601942,Behind,2026-07-15 12:00:00
Low,0,459,0.0,0.0,0.0,Behind,Adelanto,City,San Bernardino,Inland Empire,5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,0,4,0.06492718446601942,0.06492718446601942,Behind,2026-07-15 12:00:00
Moderate,0,513,0.0,0.0,0.0,Behind,Adelanto,City,San Bernardino,Inland Empire,5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,0,4,0.06492718446601942,0.06492718446601942,Behind,2026-07-15 12:00:00
Total,321,2840,0.11302816901408451,321.0,0.11302816901408451,Behind,Adelanto,City,San Bernardino,Inland Empire,5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,0,4,0.06492718446601942,0.06492718446601942,Behind,2026-07-15 12:00:00
Very Low,0,632,0.0,0.0,0.0,Behind,Adelanto,City,San Bernardino,Inland Empire,5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,0,4,0.06492718446601942,0.06492718446601942,Behind,2026-07-15 12:00:00
Above Moderate,157,2152,0.07,264.56401384083046,0.12293866814164985,Far Off Track,Adelanto,City,San Bernardino,Inland Empire,6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.023923225518106547,0.04031353227445636,Far Off Track,2026-07-15 12:00:00
Low,12,566,0.02,20.22145328719723,0.03572694927066649,Far Off Track,Adelanto,City,San Bernardino,Inland Empire,6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.023923225518106547,0.04031353227445636,Far Off Track,2026-07-15 12:00:00
Moderate,1,651,0.0,1.685121107266436,0.002588511685509118,Far Off Track,Adelanto,City,San Bernardino,Inland Empire,6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.023923225518106547,0.04031353227445636,Far Off Track,2026-07-15 12:00:00
Total,170,3763,0.0451767207015679,286.47058823529414,0.07612824561129262,Far Off Track,Adelanto,City,San Bernardino,Inland Empire,6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.023923225518106547,0.04031353227445636,Far Off Track,2026-07-15 12:00:00
Very Low,0,394,0.0,0.0,0.0,Far Off Track,Adelanto,City,San Bernardino,Inland Empire,6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.023923225518106547,0.04031353227445636,Far Off Track,2026-07-15 12:00:00
