Geographic Level,Location,Date,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More
Metro,Bakersfield,2010-01,169,83,4,3,79
Metro,Chico,2010-01,20,20,0,0,0
Metro,El Centro,2010-01,0,0,0,0,0
Metro,Fresno,2010-01,215,79,0,0,136
Metro,Hanford,2010-01,5,5,0,0,0
Metro,Inland Empire,2010-01,536,425,12,9,90
Metro,Los Angeles,2010-01,433,228,26,29,150
Metro,Madera,2010-01,1,1,0,0,0
Metro,Merced,2010-01,10,10,0,0,0
Metro,Modesto,2010-01,16,16,0,0,0
Metro,Napa,2010-01,2,2,0,0,0
Metro,Redding,2010-01,6,4,2,0,0
Metro,Sacramento,2010-01,341,211,0,0,130
Metro,Salinas,2010-01,100,19,0,16,65
Metro,San Diego,2010-01,451,219,0,0,232
Metro,San Francisco,2010-01,181,133,0,6,42
Metro,San Jose,2010-01,65,56,0,3,6
Metro,San Luis Obispo,2010-01,14,14,0,0,0
Metro,Santa Barbara,2010-01,31,21,0,10,0
Metro,Santa Cruz,2010-01,9,9,0,0,0
Metro,Santa Rosa,2010-01,67,14,0,0,53
Metro,Stockton,2010-01,64,64,0,0,0
Metro,Vallejo,2010-01,41,41,0,0,0
Metro,Ventura,2010-01,28,19,0,0,9
Metro,Visalia,2010-01,58,58,0,0,0
Metro,Yuba City,2010-01,8,8,0,0,0
State,Alabama,2010-01,881,696,2,0,183
State,Alaska,2010-01,24,24,0,0,0
State,Arizona,2010-01,1258,993,2,7,256
State,Arkansas,2010-01,411,329,18,0,64
State,California,2010-01,3022,1910,44,76,992
State,Colorado,2010-01,673,568,8,7,90
State,Connecticut,2010-01,165,150,2,0,13
State,Delaware,2010-01,202,193,4,0,5
State,Florida,2010-01,3818,2732,30,16,1040
State,Georgia,2010-01,1207,1095,2,3,107
State,Hawaii,2010-01,135,123,0,0,12
State,Idaho,2010-01,354,257,2,3,92
State,Illinois,2010-01,381,333,10,10,28
State,Indiana,2010-01,808,547,10,58,193
State,Iowa,2010-01,195,181,14,0,0
State,Kansas,2010-01,246,201,4,6,35
State,Kentucky,2010-01,422,336,20,7,59
State,Louisiana,2010-01,724,701,12,0,11
State,Maine,2010-01,107,100,2,0,5
State,Maryland,2010-01,763,588,2,0,173
State,Massachusetts,2010-01,463,293,20,23,127
State,Michigan,2010-01,485,329,20,75,61
State,Minnesota,2010-01,220,216,0,4,0
State,Mississippi,2010-01,366,366,0,0,0
State,Missouri,2010-01,417,336,16,18,47
State,Montana,2010-01,100,75,2,4,19
State,Nebraska,2010-01,215,213,2,0,0
State,Nevada,2010-01,573,409,0,48,116
State,New Hampshire,2010-01,202,102,2,0,98
State,New Jersey,2010-01,745,532,38,9,166
State,New Mexico,2010-01,277,264,0,3,10
State,New York,2010-01,848,538,84,57,169
State,North Carolina,2010-01,2513,2290,30,7,186
State,North Dakota,2010-01,101,8,0,0,93
State,Ohio,2010-01,878,619,0,10,249
State,Oklahoma,2010-01,545,460,16,16,53
State,Oregon,2010-01,488,410,4,18,56
State,Pennsylvania,2010-01,1409,1094,92,25,198
State,Rhode Island,2010-01,56,56,0,0,0
State,South Carolina,2010-01,1104,1004,10,0,90
State,South Dakota,2010-01,88,84,0,4,0
State,Tennessee,2010-01,1185,896,14,7,268
State,Texas,2010-01,6137,4987,60,72,1018
State,Utah,2010-01,498,438,8,11,41
