Geographic Level,Location,Year,Total Population,Percent Change in Population,Numeric Change in Population,Births,Deaths,Natural Increase,Net Migration,Net Foreign Immigration,Net Domestic Migration,Crude Birth Rate,Crude Death Rate,Crude Migration Rate,Crude Domestic Migration Rate,Crude Foreign Migration Rate,Source
State,AK,2011,722128.0,,,11716.0,3937.0,7779.0,422.0,1314.0,-892.0,16.224270489442315,5.451942037976647,0.5843839319345047,-1.2352380741364413,1.819622006070946,Census
State,AK,2012,730443.0,1.15,8315.0,11124.0,3940.0,7184.0,1029.0,2348.0,-1319.0,15.229114386748863,5.393986936694581,1.408734151740793,-1.805753494796993,3.2144876465377856,Census
State,AK,2013,737068.0,0.91,6625.0,11350.0,4039.0,7311.0,-701.0,2863.0,-3564.0,15.39885058095047,5.479820043740876,-0.9510655733256632,-4.835374755110791,3.884309181785127,Census
State,AK,2014,736283.0,-0.11,-785.0,11443.0,4024.0,7419.0,-8443.0,1198.0,-9641.0,15.541578441984944,5.465289840998638,-11.467058182791128,-13.094149939629192,1.6270917568380636,Census
State,AK,2015,737498.0,0.17,1215.0,11330.0,4350.0,6980.0,-5893.0,2273.0,-8166.0,15.362753526111256,5.89832108019276,-7.99053014381056,-11.07257240019634,3.08204225638578,Census
State,AK,2016,741456.0,0.54,3958.0,11246.0,4447.0,6799.0,-2882.0,2303.0,-5185.0,15.167454306122009,5.997658660797135,-3.886946764204484,-6.992997561554563,3.1060507973500786,Census
State,AK,2017,739700.0,-0.24,-1756.0,10803.0,4463.0,6340.0,-8141.0,2612.0,-10753.0,14.604569420035148,6.033527105583344,-11.00581316750034,-14.536974449100986,3.531161281600649,Census
State,AK,2018,735139.0,-0.62,-4561.0,10284.0,4664.0,5620.0,-10220.0,537.0,-10757.0,13.989191159767064,6.344378410069388,-13.902132793934207,-14.632606894750516,0.7304741008163081,Census
State,AK,2019,731545.0,-0.49,-3594.0,10031.0,4819.0,5212.0,-8823.0,659.0,-9482.0,13.712075128666042,6.587427977773069,-12.060775482027765,-12.961608650185566,0.900833168157803,Census
State,AK,2021,734923.0,0.46,3378.0,9453.0,5330.0,4123.0,-2075.0,873.0,-2948.0,12.862571997338497,7.252460461844302,-2.8234250390857274,-4.011304585650469,1.1878795465647423,Census
State,AK,2022,733276.0,-0.22,-1647.0,9356.0,6340.0,3016.0,-4846.0,2356.0,-7202.0,12.759179354022224,8.646130515658497,-6.608698498246227,-9.821676967472003,3.2129784692257757,Census
State,AK,2023,733406.0,0.02,130.0,9266.0,5581.0,3685.0,-3539.0,2004.0,-5543.0,12.6342026108322,7.609700493314754,-4.8254309345710285,-7.5578874456985625,2.7324565111275336,Census
State,AL,2011,4799069.0,,,59690.0,48833.0,10857.0,2772.0,4665.0,-1893.0,12.437829087266715,10.175515292653635,0.5776120326671694,-0.3944515071569089,0.9720635398240784,Census
State,AL,2012,4815588.0,0.34,16519.0,59067.0,48366.0,10701.0,5703.0,5817.0,-114.0,12.265791840996364,10.043633300855472,1.1842790537728725,-0.0236731215378059,1.2079521753106786,Census
State,AL,2013,4830081.0,0.3,14493.0,57929.0,50851.0,7078.0,7343.0,5046.0,2297.0,11.993380649310025,10.527980793696836,1.5202643599558685,0.4755613829250483,1.04470297703082,Census
State,AL,2014,4841799.0,0.24,11718.0,58903.0,49712.0,9191.0,2725.0,3684.0,-959.0,12.16551946910642,10.267258099726982,0.5628073366944807,-0.1980668755559658,0.7608742122504465,Census
State,AL,2015,4852347.0,0.22,10548.0,59647.0,51876.0,7771.0,3036.0,4580.0,-1544.0,12.292402006699026,10.690908956016544,0.6256766055683981,-0.3181965345841919,0.94387314015259,Census
State,AL,2016,4863525.0,0.23,11178.0,59389.0,51710.0,7679.0,3620.0,5777.0,-2157.0,12.211102029906291,10.632206064531385,0.7443161081725702,-0.4435054821348713,1.1878215903074416,Census
State,AL,2017,4874486.0,0.23,10961.0,58961.0,53195.0,5766.0,5309.0,3011.0,2298.0,12.095839438250517,10.912945487996067,1.089140475529112,0.4714343214853833,0.617706154043729,Census
State,AL,2018,4887681.0,0.27,13195.0,58271.0,53665.0,4606.0,8658.0,3379.0,5279.0,11.922013732074577,10.979644538995078,1.7713922001047122,1.0800623035750492,0.691329896529663,Census
State,AL,2019,4903185.0,0.32,15504.0,57313.0,53879.0,3434.0,12159.0,2772.0,9387.0,11.68893280592105,10.98857171410012,2.479816690579695,1.914469880292096,0.5653468102875987,Census
State,AL,2021,5050380.0,3.0,147195.0,57184.0,69135.0,-11951.0,29521.0,1806.0,27715.0,11.322712350357795,13.689068941346987,5.845302729695587,5.48770587559748,0.3575968540981075,Census
State,AL,2022,5073903.0,0.47,23523.0,58106.0,67208.0,-9102.0,32838.0,4374.0,28464.0,11.45193355095673,13.245818849907064,6.471940831348175,5.609882569690434,0.8620582616577416,Census
State,AL,2023,5108468.0,0.68,34565.0,58251.0,59813.0,-1562.0,36128.0,5384.0,30744.0,11.402831533837542,11.708598350816722,7.072178978120251,6.018242651221462,1.0539363268987885,Census
State,AR,2011,2940667.0,,,38453.0,29455.0,8998.0,9658.0,3662.0,5996.0,13.076285074100536,10.01643504687882,3.284288904524042,2.0389931944011344,1.2452957101229076,Census
State,AR,2012,2952164.0,0.39,11497.0,38594.0,29772.0,8822.0,2439.0,3732.0,-1293.0,13.07312195392939,10.0848055866815,0.8261736136610297,-0.4379837976480981,1.2641574113091276,Census
State,AR,2013,2959400.0,0.25,7236.0,37978.0,30994.0,6984.0,171.0,2321.0,-2150.0,12.83300669054538,10.473068865310536,0.0577819828343583,-0.7264986145840373,0.7842805974183956,Census
State,AR,2014,2967392.0,0.27,7992.0,38225.0,29967.0,8258.0,-271.0,3100.0,-3371.0,12.881681961803498,10.09876686329275,-0.0913259859162523,-1.1360143856962612,1.0446883997800087,Census
State,AR,2015,2978048.0,0.36,10656.0,38796.0,31318.0,7478.0,3197.0,3303.0,-106.0,13.027325281526691,10.516284492392332,1.0735219848706268,-0.035593784922204,1.1091157697928309,Census
State,AR,2016,2989918.0,0.4,11870.0,38612.0,31134.0,7478.0,4435.0,3366.0,1069.0,12.914066539617474,10.41299460386539,1.483318271604773,0.357534888916686,1.1257833826880872,Census
State,AR,2017,3001345.0,0.38,11427.0,37737.0,32340.0,5397.0,6020.0,2039.0,3981.0,12.57336294228088,10.775169132505592,2.0057674142759327,1.326405328277822,0.6793620859981109,Census
State,AR,2018,3009733.0,0.28,8388.0,37239.0,31743.0,5496.0,2882.0,588.0,2294.0,12.372858323313064,10.546782721258,0.957560022766139,0.7621938557340469,0.1953661670320922,Census
State,AR,2019,3017804.0,0.27,8071.0,36640.0,31322.0,5318.0,2783.0,268.0,2515.0,12.141278890212885,10.379070343865935,0.9221937541338008,0.8333874565743832,0.0888062975594173,Census
State,AR,2021,3028443.0,0.35,10639.0,34927.0,40180.0,-5253.0,19152.0,1346.0,17806.0,11.532989064017384,13.26754375102982,6.32404176007275,5.8795889504937024,0.4444528095790477,Census
State,AR,2022,3046404.0,0.59,17961.0,36298.0,40362.0,-4064.0,22056.0,3215.0,18841.0,11.91503162417066,13.249063485998574,7.240011502085737,6.18466887517217,1.0553426269135677,Census
State,AR,2023,3067732.0,0.7,21328.0,35566.0,36473.0,-907.0,22202.0,4096.0,18106.0,11.59358118636178,11.889239346852985,7.237268444570778,5.902080103477096,1.3351883410936811,Census
State,AZ,2011,6472643.0,,,86097.0,48174.0,37923.0,27551.0,16489.0,11062.0,13.301675992326471,7.442709261116363,4.25653013768873,1.7090391050456513,2.54749103264308,Census
State,AZ,2012,6554978.0,1.27,82335.0,85577.0,48754.0,36823.0,44944.0,15100.0,29844.0,13.055268835379769,7.437706121973255,6.8564684732732895,4.55287569233642,2.303592780936869,Census
State,AZ,2013,6632764.0,1.19,77786.0,86093.0,50612.0,35481.0,42047.0,17997.0,24050.0,12.979958279836278,7.63060467702454,6.339287814250589,3.625939351980562,2.713348462270028,Census
State,AZ,2014,6730413.0,1.47,97649.0,86129.0,50236.0,35893.0,61260.0,21312.0,39948.0,12.796985861045972,7.46402932479775,9.10196744241401,5.935445566267628,3.1665218761463825,Census
State,AZ,2015,6829676.0,1.47,99263.0,86764.0,52846.0,33918.0,65072.0,19511.0,45561.0,12.70397014441095,7.737702344884297,9.527831188478048,6.671033882134379,2.856797306343668,Census
State,AZ,2016,6941072.0,1.63,111396.0,84957.0,56032.0,28925.0,82382.0,20062.0,62320.0,12.23975201525067,8.072528278052728,11.868771855413687,8.978440217879891,2.890331637533799,Census
State,AZ,2017,7044008.0,1.48,102936.0,83021.0,56333.0,26688.0,76071.0,13385.0,62686.0,11.78604567172553,7.997293586265092,10.79939148280354,8.899194890181839,1.9001965926217008,Census
State,AZ,2018,7158024.0,1.62,114016.0,81767.0,60127.0,21640.0,92050.0,7937.0,84113.0,11.42312459416174,8.399943895130836,12.85969423963932,11.750868675489212,1.1088255641501064,Census
State,AZ,2019,7278717.0,1.69,120693.0,81942.0,60523.0,21419.0,98799.0,7782.0,91017.0,11.25775325514098,8.31506431696685,13.57368338403595,12.504538918053829,1.0691444659821228,Census
State,AZ,2021,7272487.0,-0.09,-6230.0,75693.0,80276.0,-4583.0,90300.0,8010.0,82290.0,10.40813135863976,11.038314678321184,12.416660215411866,11.31524882753314,1.101411387878727,Census
State,AZ,2022,7365684.0,1.28,93197.0,79137.0,79807.0,-670.0,92094.0,22296.0,69798.0,10.74401236870873,10.834974728755673,12.5031158002434,9.47610568142755,3.0270101188158494,Census
State,AZ,2023,7431344.0,0.89,65660.0,78494.0,70792.0,7702.0,57814.0,21635.0,36179.0,10.562557728453964,9.526136860304138,7.779750204000783,4.86843295102474,2.911317252976043,Census
County,Alameda,2011,1530915.0,,,19220.0,9076.0,10144.0,7814.0,9020.0,-1206.0,12.554583370076069,5.928480679854858,5.104137068354546,-0.7877641802451475,5.8919012485996936,Census
County,Alameda,2012,1553764.0,1.49,22849.0,18979.0,9207.0,9772.0,13106.0,9087.0,4019.0,12.214853735831182,5.925610324347842,8.435000424774934,2.586621906544366,5.848378518230568,Census
County,Alameda,2013,1579593.0,1.66,25829.0,19469.0,9620.0,9849.0,15902.0,10177.0,5725.0,12.325326840521576,6.090176393539349,10.067150208946227,3.6243513360720137,6.442798872874215,Census
County,Alameda,2014,1607792.0,1.79,28199.0,19496.0,9248.0,10248.0,17834.0,11514.0,6320.0,12.125946639863864,5.751987819319912,11.09223083582951,3.930856727735926,7.161374108093584,Census
County,Alameda,2015,1634538.0,1.66,26746.0,19489.0,9602.0,9887.0,16878.0,14029.0,2849.0,11.923246813472677,5.8744428089160365,10.325853543937187,1.743000162737116,8.582853381200069,Census
County,Alameda,2016,1650950.0,1.0,16412.0,19503.0,9569.0,9934.0,6554.0,12725.0,-6171.0,11.813198461491869,5.796056815772737,3.969835549229231,-3.7378479057512335,7.707683454980465,Census
County,Alameda,2017,1660196.0,0.56,9246.0,19594.0,9974.0,9620.0,-326.0,11386.0,-11712.0,11.802220942587502,6.007724389168508,-0.196362357215654,-7.054588735305952,6.858226378090298,Census
County,Alameda,2018,1666756.0,0.4,6560.0,18497.0,10330.0,8167.0,-1572.0,8473.0,-10045.0,11.097605168362977,6.197667805005652,-0.9431494471896306,-6.026676970114402,5.083527522924771,Census
County,Alameda,2019,1671329.0,0.27,4573.0,18628.0,10944.0,7684.0,-3086.0,8540.0,-11626.0,11.145621239145614,6.548082394310157,-1.8464347833370929,-6.956140891470201,5.109706108133109,Census
County,Alameda,2021,1644047.0,-1.63,-27282.0,16743.0,11819.0,4924.0,-39407.0,4234.0,-43641.0,10.18401542048372,7.1889672253895425,-23.969509387505344,-26.544861552011593,2.5753521645062456,Census
County,Alameda,2022,1628259.0,-0.96,-15788.0,16847.0,11100.0,5747.0,-22059.0,11409.0,-33468.0,10.346634042864189,6.817097279978185,-13.547598999913404,-20.554469528496387,7.006870528582983,Census
County,Alameda,2023,1622188.0,-0.37,-6071.0,16418.0,10571.0,5847.0,-11893.0,12740.0,-24633.0,10.120898440871217,6.516507334538291,-7.331456033456048,-15.185046369471355,7.8535903360153085,Census
County,Alpine,2011,1093.0,,,5.0,8.0,-3.0,-65.0,0.0,-65.0,4.574565416285453,7.319304666056725,-59.46935041171088,-59.46935041171088,0.0,Census
County,Alpine,2012,1110.0,1.56,17.0,5.0,6.0,-1.0,17.0,0.0,17.0,4.504504504504505,5.405405405405405,15.315315315315315,15.315315315315315,0.0,Census
County,Alpine,2013,1128.0,1.62,18.0,6.0,7.0,-1.0,18.0,1.0,17.0,5.319148936170213,6.205673758865249,15.957446808510635,15.070921985815602,0.8865248226950354,Census
County,Alpine,2014,1080.0,-4.26,-48.0,6.0,9.0,-3.0,-46.0,0.0,-46.0,5.555555555555555,8.333333333333334,-42.59259259259259,-42.59259259259259,0.0,Census
County,Alpine,2015,1077.0,-0.28,-3.0,5.0,12.0,-7.0,3.0,2.0,1.0,4.642525533890436,11.142061281337048,2.785515320334262,0.9285051067780872,1.8570102135561743,Census
County,Alpine,2016,1047.0,-2.79,-30.0,3.0,8.0,-5.0,-24.0,2.0,-26.0,2.865329512893983,7.640878701050621,-22.922636103151863,-24.83285577841452,1.9102196752626552,Census
