Geographic Level,Location,Year,Total Population,Household Population,Group Quarters Population,Total Housing Units,Single Family Units,Multiple Family Units,Mobile Homes,Occupied Units,Vacancy Rate (%),Persons Per Household,Single Family Detached Units,Single Family Attached Units,Two to Four Family Units,Five Plus Family Units,Vacant Units,Source
City,Adelanto,1991,7123,7121,2,2788,1110,1294,384,2471,11.370157819225252,2.8818292189397003,,,,,317,E-8
City,Adelanto,1992,8433,8008,425,3066,1375,1278,413,2696,12.06784083496412,2.970326409495549,,,,,370,E-8
City,Adelanto,1993,10676,10279,397,3881,2195,1262,424,3400,12.39371296057717,3.0232352941176472,,,,,481,E-8
City,Adelanto,1994,12708,12273,435,4447,2738,1246,463,3881,12.727681583089725,3.162329296573048,,,,,566,E-8
City,Adelanto,1995,14102,13662,440,5015,3318,1230,467,4364,12.981056829511465,3.130614115490376,,,,,651,E-8
City,Adelanto,1996,14796,14352,444,5185,3502,1212,471,4493,13.34619093539055,3.1943022479412417,,,,,692,E-8
City,Adelanto,1997,15514,15077,437,5345,3677,1193,475,4611,13.73246024321796,3.269789633485144,,,,,734,E-8
City,Adelanto,1998,16296,15656,640,5465,3810,1177,478,4695,14.089661482159194,3.334611288604899,,,,,770,E-8
City,Adelanto,1999,17532,16150,1382,5537,3890,1161,486,4735,14.484377821925229,3.410770855332629,,,,,802,E-8
City,Adelanto,2000,18125,16542,1583,5548,3913,1145,490,4721,14.906272530641672,3.503918661300572,,,,,827,E-8
City,Adelanto,2001,18512,16955,1557,5575,3946,1140,489,4745,14.887892376681611,3.5732349841938884,,,,,830,E-8
City,Adelanto,2002,19327,17806,1521,5711,4079,1138,494,4869,14.74347749956225,3.6570137605257753,,,,,842,E-8
City,Adelanto,2003,20326,18789,1537,5912,4277,1142,493,5050,14.580514208389715,3.720594059405941,,,,,862,E-8
City,Adelanto,2004,22528,20706,1822,6411,4696,1227,488,5483,14.475120885977228,3.776399781141711,,,,,928,E-8
City,Adelanto,2005,24855,22950,1905,7047,5333,1231,483,6032,14.40329218106996,3.804708222811671,,,,,1015,E-8
City,Adelanto,2006,26617,25128,1489,7722,6016,1227,479,6614,14.34861434861435,3.7992137889325672,,,,,1108,E-8
City,Adelanto,2007,29181,27631,1550,8560,6856,1230,474,7292,14.813084112149532,3.789221064179923,,,,,1268,E-8
City,Adelanto,2008,30526,28752,1774,8840,7140,1232,468,7579,14.26470588235294,3.793640321942209,,,,,1261,E-8
City,Adelanto,2009,31087,29241,1846,8952,7252,1236,464,7683,14.175603217158178,3.805935181569699,,,,,1269,E-8
City,Adelanto,2010,31765,30012,1753,9086,7387,1241,458,7809,14.054589478318292,3.843257779485209,7184.0,203.0,468.0,773.0,1277,E-8
