Year,Geographic Level,Location,Race/Ethnicity,Tenure,Number Over 30%,Number Over 50%,Share Over 30%,Share Over 50%
2024,County,Alameda,All,Owned,92229,43298,0.2761851715433058,0.12965841066781658
2024,County,Alameda,All,Owned With Mortgage,77455,34994,0.33423521390535865,0.15100674037059092
2024,County,Alameda,All,Owned Without Mortgage,14774,8304,0.1445582724239489,0.08125165115801215
2024,County,Alameda,All,Rented,130694,71092,0.4688809482808105,0.2550513747775673
2024,County,Alameda,All,Total,222923,114390,0.3638519606643,0.18670583914799854
2024,County,Alameda,Asian,Owned,36531,16757,0.2821798238838251,0.12943766414336474
2024,County,Alameda,Asian,Owned With Mortgage,31293,14229,0.3434413275385223,0.15616357171078626
2024,County,Alameda,Asian,Owned Without Mortgage,5238,2528,0.13660546630502818,0.06592948049238473
2024,County,Alameda,Asian,Rented,28652,16880,0.41251421742948874,0.2430280605266568
2024,County,Alameda,Asian,Total,65183,33637,0.3276894383084402,0.169100680183192
2024,County,Alameda,Black,Owned,8190,5059,0.3999609317771158,0.24705767446403282
2024,County,Alameda,Black,Owned With Mortgage,6614,4172,0.42178432497927426,0.2660544608124482
2024,County,Alameda,Black,Owned Without Mortgage,1576,887,0.3286071726438699,0.18494578815679732
2024,County,Alameda,Black,Rented,21683,11709,0.5551061160748573,0.2997619108573769
2024,County,Alameda,Black,Total,29873,16768,0.5017467835667977,0.281635258154456
2024,County,Alameda,Hispanic,Owned,12348,5530,0.2796512286264296,0.12524062960027177
2024,County,Alameda,Hispanic,Owned With Mortgage,10044,4377,0.33590849804354367,0.14638306411156818
2024,County,Alameda,Hispanic,Owned Without Mortgage,2304,1153,0.1616388382208503,0.08088957485618072
2024,County,Alameda,Hispanic,Rented,35363,18629,0.5189147150319892,0.27336092034982684
2024,County,Alameda,Hispanic,Total,47711,24159,0.42484172283910493,0.21512337159292272
2024,County,Alameda,Multiracial,Owned,6603,2328,0.2580809067813172,0.09099081493062341
2024,County,Alameda,Multiracial,Owned With Mortgage,5381,1926,0.3000111507582516,0.10738180196253345
2024,County,Alameda,Multiracial,Owned Without Mortgage,1222,402,0.15975944567917374,0.05255588965877893
2024,County,Alameda,Multiracial,Rented,16251,7026,0.43525189490317917,0.18817794680879557
2024,County,Alameda,Multiracial,Total,22854,9354,0.3632115953084772,0.14866024601888053
2024,County,Alameda,NHPI,Owned,28,28,0.05185185185185185,0.05185185185185185
2024,County,Alameda,NHPI,Owned With Mortgage,28,28,0.07291666666666667,0.07291666666666667
2024,County,Alameda,NHPI,Owned Without Mortgage,0,0,0.0,0.0
2024,County,Alameda,NHPI,Rented,58,58,0.17210682492581603,0.17210682492581603
2024,County,Alameda,NHPI,Total,86,86,0.09806157354618016,0.09806157354618016
2024,County,Alameda,Other,Owned,6809,3124,0.2941760995420375,0.13496932515337423
2024,County,Alameda,Other,Owned With Mortgage,6158,2863,0.3779769211883133,0.17573041983795729
2024,County,Alameda,Other,Owned Without Mortgage,651,261,0.09498103297344616,0.03807995331193464
2024,County,Alameda,Other,Rented,22987,13446,0.5855963723442197,0.3425383400417792
2024,County,Alameda,Other,Total,29796,16570,0.4775,0.2655448717948718
2024,County,Alameda,White,Owned,30495,14230,0.2460683133084266,0.11482381040757207
2024,County,Alameda,White,Owned With Mortgage,24834,10378,0.29759850445786595,0.12436487393346755
2024,County,Alameda,White,Owned Without Mortgage,5661,3852,0.13984338331562957,0.09515575208122329
2024,County,Alameda,White,Rented,31269,16462,0.4183815462013969,0.2202627846610827
2024,County,Alameda,White,Total,61764,30692,0.3108920958186312,0.15448967367504418
2024,County,Alpine,AIAN,Owned,371,144,0.3254385964912281,0.12631578947368421
2024,County,Alpine,AIAN,Owned With Mortgage,211,0,0.6432926829268293,0.0
2024,County,Alpine,AIAN,Owned Without Mortgage,160,144,0.19704433497536947,0.17733990147783252
2024,County,Alpine,AIAN,Rented,196,163,0.3234323432343234,0.26897689768976896
2024,County,Alpine,AIAN,Total,567,307,0.3247422680412371,0.17583046964490265
2024,County,Alpine,All,Owned,18557,8960,0.32341100402586315,0.15615469074051483
2024,County,Alpine,All,Owned With Mortgage,12995,5968,0.3873092513113972,0.17787315212207916
2024,County,Alpine,All,Owned Without Mortgage,5562,2992,0.2334326604272464,0.12557183027657698
2024,County,Alpine,All,Rented,10146,5409,0.48799961521812324,0.26016064643355297
2024,County,Alpine,All,Total,28703,14369,0.367186900345401,0.18381732122297556
2024,County,Alpine,Hispanic,Owned,2392,741,0.46079753419379693,0.1427470622230784
2024,County,Alpine,Hispanic,Owned With Mortgage,2024,741,0.531652219595482,0.1946414499605989
2024,County,Alpine,Hispanic,Owned Without Mortgage,368,0,0.2658959537572254,0.0
2024,County,Alpine,Hispanic,Rented,2561,1295,0.6486828774062816,0.3280141843971631
2024,County,Alpine,Hispanic,Total,4953,2036,0.5419630156472262,0.22278148593938069
2024,County,Alpine,Multiracial,Owned,1614,474,0.2860687699397377,0.08401276143211626
2024,County,Alpine,Multiracial,Owned With Mortgage,1107,322,0.33811850946854,0.09835064141722663
2024,County,Alpine,Multiracial,Owned Without Mortgage,507,152,0.21410472972972974,0.06418918918918919
2024,County,Alpine,Multiracial,Rented,1520,851,0.720037896731407,0.40312648034107057
2024,County,Alpine,Multiracial,Total,3134,1325,0.4042306204050045,0.17090158648265188
2024,County,Alpine,Other,Owned,1153,404,0.7666223404255319,0.26861702127659576
2024,County,Alpine,Other,Owned With Mortgage,953,404,0.821551724137931,0.3482758620689655
2024,County,Alpine,Other,Owned Without Mortgage,200,0,0.5813953488372093,0.0
2024,County,Alpine,Other,Rented,664,193,0.8523748395378691,0.24775353016688062
2024,County,Alpine,Other,Total,1817,597,0.7958826106000876,0.2614980289093298
2024,County,Alpine,White,Owned,14624,7544,0.3100144153311286,0.15992537946239294
2024,County,Alpine,White,Owned With Mortgage,9960,4848,0.3666887563507842,0.17848464766953834
2024,County,Alpine,White,Owned Without Mortgage,4664,2696,0.23308345827086457,0.1347326336831584
2024,County,Alpine,White,Rented,7012,3755,0.4488829140259907,0.24038153767364445
2024,County,Alpine,White,Total,21636,11299,0.34456069944102047,0.17994043922093228
2024,County,Amador,AIAN,Owned,371,144,0.3254385964912281,0.12631578947368421
2024,County,Amador,AIAN,Owned With Mortgage,211,0,0.6432926829268293,0.0
2024,County,Amador,AIAN,Owned Without Mortgage,160,144,0.19704433497536947,0.17733990147783252
2024,County,Amador,AIAN,Rented,196,163,0.3234323432343234,0.26897689768976896
2024,County,Amador,AIAN,Total,567,307,0.3247422680412371,0.17583046964490265
2024,County,Amador,All,Owned,18557,8960,0.32341100402586315,0.15615469074051483
2024,County,Amador,All,Owned With Mortgage,12995,5968,0.3873092513113972,0.17787315212207916
2024,County,Amador,All,Owned Without Mortgage,5562,2992,0.2334326604272464,0.12557183027657698
2024,County,Amador,All,Rented,10146,5409,0.48799961521812324,0.26016064643355297
2024,County,Amador,All,Total,28703,14369,0.367186900345401,0.18381732122297556
2024,County,Amador,Hispanic,Owned,2392,741,0.46079753419379693,0.1427470622230784
2024,County,Amador,Hispanic,Owned With Mortgage,2024,741,0.531652219595482,0.1946414499605989
2024,County,Amador,Hispanic,Owned Without Mortgage,368,0,0.2658959537572254,0.0
2024,County,Amador,Hispanic,Rented,2561,1295,0.6486828774062816,0.3280141843971631
2024,County,Amador,Hispanic,Total,4953,2036,0.5419630156472262,0.22278148593938069
2024,County,Amador,Multiracial,Owned,1614,474,0.2860687699397377,0.08401276143211626
2024,County,Amador,Multiracial,Owned With Mortgage,1107,322,0.33811850946854,0.09835064141722663
2024,County,Amador,Multiracial,Owned Without Mortgage,507,152,0.21410472972972974,0.06418918918918919
2024,County,Amador,Multiracial,Rented,1520,851,0.720037896731407,0.40312648034107057
2024,County,Amador,Multiracial,Total,3134,1325,0.4042306204050045,0.17090158648265188
2024,County,Amador,Other,Owned,1153,404,0.7666223404255319,0.26861702127659576
2024,County,Amador,Other,Owned With Mortgage,953,404,0.821551724137931,0.3482758620689655
2024,County,Amador,Other,Owned Without Mortgage,200,0,0.5813953488372093,0.0
2024,County,Amador,Other,Rented,664,193,0.8523748395378691,0.24775353016688062
2024,County,Amador,Other,Total,1817,597,0.7958826106000876,0.2614980289093298
2024,County,Amador,White,Owned,14624,7544,0.3100144153311286,0.15992537946239294
2024,County,Amador,White,Owned With Mortgage,9960,4848,0.3666887563507842,0.17848464766953834
2024,County,Amador,White,Owned Without Mortgage,4664,2696,0.23308345827086457,0.1347326336831584
2024,County,Amador,White,Rented,7012,3755,0.4488829140259907,0.24038153767364445
2024,County,Amador,White,Total,21636,11299,0.34456069944102047,0.17994043922093228
2024,County,Butte,AIAN,Owned,177,82,0.42650602409638555,0.19759036144578312
2024,County,Butte,AIAN,Owned With Mortgage,173,78,0.4505208333333333,0.203125
2024,County,Butte,AIAN,Owned Without Mortgage,4,4,0.12903225806451613,0.12903225806451613
2024,County,Butte,AIAN,Rented,194,173,0.4801980198019802,0.4282178217821782
2024,County,Butte,AIAN,Total,371,255,0.452991452991453,0.31135531135531136
2024,County,Butte,All,Owned,12960,6390,0.2840610205155181,0.14005786428195688
2024,County,Butte,All,Owned With Mortgage,8259,4240,0.3361553176767471,0.17257519638568927
2024,County,Butte,All,Owned Without Mortgage,4701,2150,0.2232723818570411,0.10211351222987414
2024,County,Butte,All,Rented,21282,12683,0.5400152245622938,0.32182187262116213
2024,County,Butte,All,Total,34242,19073,0.4026859844297575,0.22429851588776253
2024,County,Butte,Asian,Owned,227,104,0.16777531411677754,0.07686622320768663
2024,County,Butte,Asian,Owned With Mortgage,170,93,0.18478260869565216,0.10108695652173913
2024,County,Butte,Asian,Owned Without Mortgage,57,11,0.13163972286374134,0.025404157043879907
2024,County,Butte,Asian,Rented,1087,1013,0.5697064989517819,0.5309224318658281
2024,County,Butte,Asian,Total,1314,1117,0.4029438822447102,0.3425329653480527
2024,County,Butte,Black,Owned,100,0,0.5494505494505495,0.0
2024,County,Butte,Black,Owned With Mortgage,100,0,0.5494505494505495,0.0
2024,County,Butte,Black,Owned Without Mortgage,0,0,,
2024,County,Butte,Black,Rented,540,536,0.5973451327433629,0.5929203539823009
2024,County,Butte,Black,Total,640,536,0.5893186003683242,0.49355432780847147
2024,County,Butte,Hispanic,Owned,1937,986,0.30721649484536084,0.1563838223632038
2024,County,Butte,Hispanic,Owned With Mortgage,1343,930,0.30031305903398925,0.20796064400715564
2024,County,Butte,Hispanic,Owned Without Mortgage,594,56,0.32405891980360063,0.03055100927441353
2024,County,Butte,Hispanic,Rented,4520,3400,0.5243619489559165,0.39443155452436196
2024,County,Butte,Hispanic,Total,6457,4386,0.4326298157453936,0.2938693467336683
2024,County,Butte,Multiracial,Owned,1852,640,0.3224233983286908,0.11142061281337047
2024,County,Butte,Multiracial,Owned With Mortgage,1100,631,0.2742458239840439,0.15731737721266517
2024,County,Butte,Multiracial,Owned Without Mortgage,752,9,0.4339296018465089,0.0051933064050779
2024,County,Butte,Multiracial,Rented,3839,2359,0.522170837867247,0.3208650707290533
2024,County,Butte,Multiracial,Total,5691,2999,0.43456017104459377,0.22900122174709836
2024,County,Butte,Other,Owned,404,205,0.21500798296966472,0.10910058541777541
2024,County,Butte,Other,Owned With Mortgage,283,205,0.2336911643270025,0.16928158546655656
2024,County,Butte,Other,Owned Without Mortgage,121,0,0.18113772455089822,0.0
2024,County,Butte,Other,Rented,1080,644,0.453781512605042,0.27058823529411763
2024,County,Butte,Other,Total,1484,849,0.34843860061047194,0.19934256867809344
2024,County,Butte,White,Owned,9421,4803,0.27156116683961723,0.13844690418540298
2024,County,Butte,White,Owned With Mortgage,5863,2798,0.3435083196625264,0.16393250527302555
2024,County,Butte,White,Owned Without Mortgage,3558,2005,0.2018837948252383,0.11376532001815706
2024,County,Butte,White,Rented,13635,7129,0.5431621718519699,0.28398996135920007
2024,County,Butte,White,Total,23056,11932,0.3855840789363659,0.1995484572288653
2024,County,Calaveras,AIAN,Owned,371,144,0.3254385964912281,0.12631578947368421
2024,County,Calaveras,AIAN,Owned With Mortgage,211,0,0.6432926829268293,0.0
2024,County,Calaveras,AIAN,Owned Without Mortgage,160,144,0.19704433497536947,0.17733990147783252
2024,County,Calaveras,AIAN,Rented,196,163,0.3234323432343234,0.26897689768976896
2024,County,Calaveras,AIAN,Total,567,307,0.3247422680412371,0.17583046964490265
2024,County,Calaveras,All,Owned,18557,8960,0.32341100402586315,0.15615469074051483
2024,County,Calaveras,All,Owned With Mortgage,12995,5968,0.3873092513113972,0.17787315212207916
2024,County,Calaveras,All,Owned Without Mortgage,5562,2992,0.2334326604272464,0.12557183027657698
2024,County,Calaveras,All,Rented,10146,5409,0.48799961521812324,0.26016064643355297
2024,County,Calaveras,All,Total,28703,14369,0.367186900345401,0.18381732122297556
2024,County,Calaveras,Hispanic,Owned,2392,741,0.46079753419379693,0.1427470622230784
2024,County,Calaveras,Hispanic,Owned With Mortgage,2024,741,0.531652219595482,0.1946414499605989
2024,County,Calaveras,Hispanic,Owned Without Mortgage,368,0,0.2658959537572254,0.0
2024,County,Calaveras,Hispanic,Rented,2561,1295,0.6486828774062816,0.3280141843971631
2024,County,Calaveras,Hispanic,Total,4953,2036,0.5419630156472262,0.22278148593938069
2024,County,Calaveras,Multiracial,Owned,1614,474,0.2860687699397377,0.08401276143211626
2024,County,Calaveras,Multiracial,Owned With Mortgage,1107,322,0.33811850946854,0.09835064141722663
2024,County,Calaveras,Multiracial,Owned Without Mortgage,507,152,0.21410472972972974,0.06418918918918919
2024,County,Calaveras,Multiracial,Rented,1520,851,0.720037896731407,0.40312648034107057
2024,County,Calaveras,Multiracial,Total,3134,1325,0.4042306204050045,0.17090158648265188
2024,County,Calaveras,Other,Owned,1153,404,0.7666223404255319,0.26861702127659576
2024,County,Calaveras,Other,Owned With Mortgage,953,404,0.821551724137931,0.3482758620689655
2024,County,Calaveras,Other,Owned Without Mortgage,200,0,0.5813953488372093,0.0
2024,County,Calaveras,Other,Rented,664,193,0.8523748395378691,0.24775353016688062
2024,County,Calaveras,Other,Total,1817,597,0.7958826106000876,0.2614980289093298
2024,County,Calaveras,White,Owned,14624,7544,0.3100144153311286,0.15992537946239294
2024,County,Calaveras,White,Owned With Mortgage,9960,4848,0.3666887563507842,0.17848464766953834
2024,County,Calaveras,White,Owned Without Mortgage,4664,2696,0.23308345827086457,0.1347326336831584
2024,County,Calaveras,White,Rented,7012,3755,0.4488829140259907,0.24038153767364445
2024,County,Calaveras,White,Total,21636,11299,0.34456069944102047,0.17994043922093228
2024,County,Colusa,AIAN,Owned,149,131,0.15918803418803418,0.13995726495726496
2024,County,Colusa,AIAN,Owned With Mortgage,0,0,0.0,0.0
2024,County,Colusa,AIAN,Owned Without Mortgage,149,131,0.2395498392282958,0.21061093247588425
2024,County,Colusa,AIAN,Rented,97,0,0.7578125,0.0
2024,County,Colusa,AIAN,Total,246,131,0.231203007518797,0.1231203007518797
2024,County,Colusa,All,Owned,9914,5110,0.3076588877855015,0.15857745779543198
2024,County,Colusa,All,Owned With Mortgage,7911,3943,0.4440141437952517,0.22130549475220296
2024,County,Colusa,All,Owned Without Mortgage,2003,1167,0.13902963837023669,0.08100229055320331
2024,County,Colusa,All,Rented,9521,5035,0.5194217130387343,0.2746863066012002
2024,County,Colusa,All,Total,19435,10145,0.38444040036396726,0.20067650433200143
2024,County,Colusa,Hispanic,Owned,2395,992,0.32835207019468055,0.13600219358376747
2024,County,Colusa,Hispanic,Owned With Mortgage,1993,917,0.4456618962432916,0.20505366726296959
2024,County,Colusa,Hispanic,Owned Without Mortgage,402,75,0.14245216158752658,0.02657689581856839
2024,County,Colusa,Hispanic,Rented,2873,1053,0.4491869918699187,0.16463414634146342
2024,County,Colusa,Hispanic,Total,5268,2045,0.3848064280496713,0.1493791088385683
2024,County,Colusa,Multiracial,Owned,1510,698,0.42739881120860457,0.19756580809510332
2024,County,Colusa,Multiracial,Owned With Mortgage,1491,679,0.568,0.25866666666666666
2024,County,Colusa,Multiracial,Owned Without Mortgage,19,19,0.02092511013215859,0.02092511013215859
2024,County,Colusa,Multiracial,Rented,1415,901,0.4738780977896852,0.3017414601473543
2024,County,Colusa,Multiracial,Total,2925,1599,0.4486884491486424,0.24528301886792453
2024,County,Colusa,Other,Owned,1353,594,0.31319444444444444,0.1375
2024,County,Colusa,Other,Owned With Mortgage,813,377,0.36181575433911883,0.16777926123720516
2024,County,Colusa,Other,Owned Without Mortgage,540,217,0.26049204052098407,0.10467920887602508
2024,County,Colusa,Other,Rented,1807,716,0.45310932798395187,0.17953861584754263
2024,County,Colusa,Other,Total,3160,1310,0.3803562831006259,0.1576793452094367
