Year,Geographic Level,Location,Race/Ethnicity,Tenure,Number Over 30%,Number Over 50%,Share Over 30%,Share Over 50%
2012,County,Alameda,AIAN,Owned,310,172,0.380368098193865,0.2110429448466257
2012,County,Alameda,AIAN,Owned With Mortgage,199,61,0.4137214136257796,0.1268191267567567
2012,County,Alameda,AIAN,Owned Without Mortgage,111,111,0.3323353293892215,0.3323353293892215
2012,County,Alameda,AIAN,Rented,704,184,0.8054919908157896,0.2105263158180778
2012,County,Alameda,AIAN,Total,1014,356,0.6003552396003552,0.2107756070011841
2012,County,Alameda,All,Owned,97281,36836,0.3392643536188651,0.1284643633368754
2012,County,Alameda,All,Owned With Mortgage,86607,32705,0.3992173022709204,0.15075457977476
2012,County,Alameda,All,Owned Without Mortgage,10674,4131,0.1529248269377928,0.0591842291120503
2012,County,Alameda,All,Rented,129453,69589,0.5224176338170471,0.2808318132371063
2012,County,Alameda,All,Total,226734,106425,0.424168953830747,0.199097536675985
2012,County,Alameda,Asian,Owned,26497,9665,0.3354475250050766,0.122357260520914
2012,County,Alameda,Asian,Owned With Mortgage,24179,8130,0.3827850426813791,0.1287084824099357
2012,County,Alameda,Asian,Owned Without Mortgage,2318,1535,0.1464863498859327,0.0970045501541329
2012,County,Alameda,Asian,Rented,21104,11220,0.4366645976947444,0.2321539414889716
2012,County,Alameda,Asian,Total,47601,20885,0.3738689916134386,0.1640355012796182
2012,County,Alameda,Black,Owned,10285,5701,0.4343878023939266,0.2407821938219791
2012,County,Alameda,Black,Owned With Mortgage,9427,5575,0.5004778083210873,0.2959757911855489
2012,County,Alameda,Black,Owned Without Mortgage,858,126,0.1772361081402602,0.0260276803515802
2012,County,Alameda,Black,Rented,30823,17606,0.6208181433270559,0.3546093577033374
2012,County,Alameda,Black,Total,41108,23307,0.5606196981166162,0.3178545129124321
2012,County,Alameda,Hispanic,Owned,14789,5820,0.4428772496993083,0.1742880246331865
2012,County,Alameda,Hispanic,Owned With Mortgage,13127,5435,0.4889923634727137,0.202458558463252
2012,County,Alameda,Hispanic,Owned Without Mortgage,1662,385,0.2538179596656994,0.0587965790418448
2012,County,Alameda,Hispanic,Rented,33918,17325,0.6407480872290544,0.3272881836558043
2012,County,Alameda,Hispanic,Total,48707,23145,0.5642085997838361,0.2681053656915022
2012,County,Alameda,Multiracial,Owned,2885,761,0.4588834102436774,0.1210434230890727
2012,County,Alameda,Multiracial,Owned With Mortgage,2691,669,0.5202010438320125,0.1293253431735936
2012,County,Alameda,Multiracial,Owned Without Mortgage,194,92,0.1741472172773788,0.0825852783016158
2012,County,Alameda,Multiracial,Rented,4376,2210,0.4601956040768745,0.2324113996946051
2012,County,Alameda,Multiracial,Total,7261,2971,0.4596733350443783,0.1880855913000759
